"OBJECT_ID","EIN","NAME","TAXYR","FORMTYPE","URL","SH_04_CO_ENTITY_ACT_DESC","SH_04_CO_PROFIT_PCT_ORG","SH_04_CO_PROFIT_PCT_PHYSICIAN","SH_04_CO_ENTITY_NAME_L1","SH_04_CO_PROFIT_PCT_OFF"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349300949","620479367","METHODIST HEALTHCARE - MEMPHIS HOSPITALS","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349300949_public.xml","OUTPATIENT SURGERY","0.56500","0.43500","1 NORTH SURGERY CENTER LP",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349300949","620479367","METHODIST HEALTHCARE - MEMPHIS HOSPITALS","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201943199349300949_public.xml","OUTPATIENT SURGERY","0.55000","0.45000","2 METHODIST SURGERY CENTER - GERMANTOWN LP",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031369349301733","580566213","PIEDMONT HOSPITAL INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031369349301733_public.xml","Orthopedic Surgery","0.15","0.85","Peachtree ORTHO",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031369349301733","580566213","PIEDMONT HOSPITAL INC","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031369349301733_public.xml","Endo/GI Surgery","0.15","0.85","Digestive Healthcare",NA
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031269349301348","352528741","Vanderbilt University Medical Center","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031269349301348_public.xml","Ambulatory Surgery Center","0.5102","0.1326","Ambulatory Surgery Center of Cool Springs LLC","0.0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031269349301348","352528741","Vanderbilt University Medical Center","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031269349301348_public.xml","Radiology Services","0.6667","0.3333","Vanderbilt Imaging Services LLC","0.0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031269349301348","352528741","Vanderbilt University Medical Center","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031269349301348_public.xml","Outpatient Diagnostic Imaging","0.6667","0.3333","New Light Imaging LLC","0.0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031269349301348","352528741","Vanderbilt University Medical Center","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031269349301348_public.xml","Outpatient Diagnostic Imaging","0.8","0.2","One Hundred Oaks Imaging LLC","0.0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031269349301348","352528741","Vanderbilt University Medical Center","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031269349301348_public.xml","Outpatient Diagnostic Imaging","0.5334","0.2666","Williamson Imaging LLC","0.0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031269349301348","352528741","Vanderbilt University Medical Center","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031269349301348_public.xml","Pediatric Clinics","0.51","0.49","VIP Midsouth LLC","0.0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031269349301348","352528741","Vanderbilt University Medical Center","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/202031269349301348_public.xml","Own Real Estate Used as Medical Facility","0.49","0.51","Springfield VIP Realty LLC","0.0"
"https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903189349304075","470796875","FAITH REGIONAL HEALTH SERVICES","2018","990","https://nccs-efile.s3.us-east-1.amazonaws.com/xml/201903189349304075_public.xml","IMAGING SERVICES","0.25000","0.75000","1 NORTHEAST NE IMAGING CENTER LLC","0.00000"
